id,|eps_neighbourhood|,eps_neighbourhood
0,52,[ 0 8831 5219 6416 7792 4255 1609 1151 5599 4466 2661 3785 5085 8190 7562 6037 9525 2956 6180 8104 1450 3376 6877 6396 9094 3328 5525 7831 617 8085 2578 6858 3861 2913 3481 7715 3647 9795 6587 5304 9210 1764 9020 6582 7426 1685 8623 8113 4036 3164 9376 6345 ]
1,43,[ 1 5627 3418 3028 5552 6583 9116 1246 2507 895 1164 8694 6716 2591 7251 968 1813 6148 1374 3724 5841 287 5864 5414 2653 712 3738 6164 871 524 2637 4094 2558 2422 5896 9461 6541 9502 1698 8916 4293 2286 1970 ]
2,26,[ 2 193 3162 2180 6138 6717 7381 1849 8172 1593 1610 7099 8452 2749 9284 5150 5701 183 8976 8360 8035 9018 6471 7218 4416 3136 ]
3,59,[ 3 4318 4699 5832 7351 8692 2569 4836 9047 7647 5857 4978 5285 2682 1417 1059 4557 147 4665 6129 697 2197 7529 7876 3756 1665 4451 6221 3184 5719 3739 1058 5463 1846 6275 2145 4384 3674 1759 2945 2560 8096 8019 1062 1835 3225 6463 6140 4340 829 6210 8023 3939 3293 1206 9878 9528 45 9879 ]
4,56,[ 4 7224 7655 3985 3096 4755 2658 6394 9424 5480 3796 2299 3388 1526 5873 5416 4190 1655 4727 6410 9487 7422 1183 5256 7174 6525 7344 8710 3511 1106 8255 7362 6911 150 2845 3070 1067 7600 650 923 9256 9528 5313 727 3293 3874 6726 3630 1858 1835 9576 5192 6210 4646 132 641 ]
5,35,[ 5 470 4956 3285 6775 7999 6444 1677 817 4400 6237 7501 2792 4639 3962 5933 6628 5783 7206 3827 1770 3964 965 5927 5596 7019 851 1745 8450 5534 6825 5923 3085 7566 4719 ]
6,37,[ 6 929 3530 5886 7768 6153 2931 6864 4517 2168 807 9889 7059 2684 6531 7850 6910 8137 1576 2426 2220 5004 4685 5421 2258 7667 5523 5817 6855 80 748 9416 2714 9716 7824 7102 5955 ]
7,53,[ 7 1958 8947 6217 4728 8727 5152 4503 7838 3381 3062 9539 8987 3673 4545 5325 7142 1816 6296 949 6891 1744 4453 6882 4056 5966 6665 2572 645 5592 931 8898 5460 8382 9737 9280 318 5706 3335 7092 1647 1490 6942 6197 3216 1197 8306 2014 9850 6328 7328 111 3369 ]
8,40,[ 8 2978 2187 1928 904 1365 8126 7696 6409 327 8070 6893 3723 6178 1501 9405 5185 3046 3051 6731 216 9457 8242 7023 5051 3906 3190 7778 8432 926 3941 1682 5773 4599 2991 786 8146 924 2888 2289 ]
9,44,[ 9 755 9967 1549 1088 6130 7123 5194 7829 6799 6712 3971 1993 4120 7078 6612 4294 5959 9023 4231 3181 2326 5778 5087 7083 8210 8200 9733 7544 5008 9717 3191 2541 8996 1121 5514 7651 4822 6426 5283 5232 7832 5226 1127 ]
10,47,[ 10 3652 8501 5063 9406 8415 7380 291 9454 2135 3732 1829 8717 460 3671 9742 6327 375 4916 217 692 2500 3314 9288 5181 621 7161 1019 3660 3221 7473 288 2142 2003 1263 8591 9043 8977 7176 261 9940 9552 2604 5384 1428 5539 5200 ]
11,48,[ 11 5866 3254 8288 106 4992 9069 3876 6281 702 6407 1897 1131 6468 1110 9732 6204 7170 3787 1128 1560 4656 3460 9191 5306 3243 7414 2051 8842 3514 6551 987 374 234 95 7622 7080 8143 3310 8698 8320 7674 3001 3239 2182 1347 1644 3152 ]
12,44,[ 12 6139 779 7935 640 6563 3831 3554 7432 799 1341 9427 4605 8857 2341 8965 5799 3090 6713 2961 2446 5681 8098 199 7475 2869 1654 5983 888 5849 4624 6751 7239 570 1686 7183 2729 652 8860 6715 7219 2149 9908 5895 ]
13,51,[ 13 8909 2685 9934 8927 7452 4309 1624 5179 7706 4233 3211 6104 5347 9338 5530 8221 7077 283 8753 7203 6623 9498 3089 2712 8868 2793 4044 4969 7608 5739 8100 9972 1231 790 7568 5772 9446 7329 3734 2127 771 7300 8302 9499 7378 4182 2821 955 5157 7894 ]
14,29,[ 14 5850 8455 6175 1856 8921 6580 956 9968 4791 9827 7615 7013 9865 5001 6902 1215 1477 8434 7266 4794 546 5124 1463 7941 784 164 5375 8277 ]
15,33,[ 15 7628 689 4093 2626 9883 8746 5608 6744 1436 6811 2772 267 6489 1775 4420 588 5949 7506 2673 4335 777 3762 7508 6478 8765 5854 9433 5976 7060 1679 7325 4224 ]
