id,|eps_neighbourhood|,eps_neighbourhood
0,76,[ 0 1463 8733 15483 327 19403 39 9991 10391 14020 2440 15264 6032 186 1609 13340 7508 3702 2227 12648 1155 19053 15695 15156 17660 1130 70 10768 214 17 1759 11248 1597 728 15950 2355 4064 14250 445 2536 3844 8662 3446 13880 9554 16619 13817 8315 3630 16049 4889 2741 12856 11902 10345 17926 17756 8781 1596 3862 13532 14771 14718 14238 14155 8667 14121 7690 9786 18488 2689 19835 3406 5239 6555 11309 ]
1,10,[ 1 4345 3300 2694 125 8627 1447 4029 15876 6629 ]
2,2,[ 2 8822 ]
3,53,[ 3 4571 15012 14635 1319 15120 7797 4800 4923 15924 4013 18669 19748 2955 8646 6775 18087 1822 9628 16909 11387 4783 9834 14538 6886 13216 18453 4831 19300 12008 16707 11297 12351 19605 405 7930 5111 1467 2034 16722 15375 5956 13722 18830 6060 5066 13910 19260 17289 16838 6068 10475 8255 ]
4,21,[ 4 19263 16087 15097 9525 19171 13342 18320 13155 12672 2775 17854 5436 14589 17300 18773 4857 11680 11835 3659 7072 ]
5,16,[ 5 8617 15744 12740 15919 17126 18460 775 8357 15526 19331 19020 15901 2020 13243 8111 ]
6,13,[ 6 8935 3950 18762 10871 11670 3468 15261 1239 3684 19397 11120 9551 ]
7,38,[ 7 6382 15508 8006 14256 17801 7506 8230 5343 19555 18994 16293 16974 16917 13031 861 5931 15280 679 5196 12951 2001 16061 8550 11074 6736 19447 5850 8248 17194 7454 14686 7633 19168 3197 7824 2336 16396 ]
8,12,[ 8 3966 11951 18576 4658 2664 16622 12036 18064 18832 3744 1842 ]
9,40,[ 9 12950 18358 4344 5503 4077 14560 6391 18054 15935 13699 500 8689 3093 4698 15511 16150 17993 13947 15446 4476 18904 7822 17168 19315 14067 17839 5930 8604 3296 8826 11118 10717 12264 14399 6071 17578 11617 2812 14322 ]
10,45,[ 10 2537 7270 521 8847 5716 10003 11479 10236 5401 14947 4189 9411 17832 2874 3834 9552 10952 4843 16437 17949 122 6713 9473 11928 12624 3648 18905 2064 5775 15883 12339 7590 8557 1254 9074 9255 15010 18567 13790 11604 16516 2203 410 6134 ]
11,4,[ 11 8562 9266 5310 ]
12,2,[ 12 9838 ]
13,14,[ 13 11367 7573 16338 15399 10088 5007 13400 5918 17043 6046 15670 7186 2492 ]
14,2,[ 14 17533 ]
15,8,[ 15 8253 5981 17206 13150 7336 6484 11488 ]
16,18,[ 16 9043 12884 8436 7232 3384 15419 3762 18145 4418 6678 17933 2357 11236 15978 12437 5307 3444 ]
17,76,[ 17 214 10768 14097 0 1463 8733 15483 327 39 9991 10391 2440 15264 6032 186 1284 8734 13340 7508 3702 12648 19053 15695 15156 17660 1130 1759 11248 1597 728 15950 2355 4064 14250 445 2536 3844 8662 12403 9554 264 16619 13817 8315 3630 16049 4889 2741 12856 11902 10345 17756 8781 1596 3862 13532 14771 14718 5629 14238 14155 8667 14121 7690 9786 18488 2689 19835 3406 5239 6555 14602 11309 8434 6689 ]
18,31,[ 18 10943 11055 9447 1833 657 4943 16604 18863 4021 13042 9781 4383 11439 12284 2111 17825 764 18094 4016 9457 17694 903 3883 13687 13145 17104 4081 4260 14455 17751 ]
19,29,[ 19 8609 17900 2436 17344 11251 2709 14170 18387 4648 19354 6524 11652 11713 15285 9936 16328 10121 6607 16743 9298 2636 9871 11492 19012 9071 2320 13291 18231 ]
20,16,[ 20 6731 4514 15282 4993 6814 198 15686 6805 14532 5037 12354 4670 12231 7999 3620 ]
