id,d0,d1,distance_calculations,point_type,cluster_id
0,539.512,411.975,640,1,1
1,542.241,147.626,532,1,2
2,653.469,370.728,306,0,9
3,598.586,284.883,770,1,1
4,573.063,294.563,729,1,1
5,139.57,401.381,352,1,3
6,228.97,281.992,512,1,3
7,305.747,94.351,522,1,4
8,610.617,167.19,608,1,1
9,500.45,118.781,563,1,2
10,341.805,361.755,598,1,5
11,128.583,81.599,270,1,4
12,39.105,381.266,513,1,3
13,294.912,421.48,577,1,3
14,189.214,322.73,507,0,8
15,251.889,69.384,289,0,4
16,116.099,296.383,604,0,3
17,86.84,307.898,601,0,3
18,509.272,429.166,773,1,1
19,90.307,73.486,152,0,4
20,269.271,163.342,573,1,6
21,137.112,289.689,591,1,3
22,63.614,406.866,434,0,3
23,224.473,92.762,294,1,4
24,345.226,306.392,680,0,5
25,188.508,282.094,529,1,3
26,531.219,468.525,334,-1,-1
27,47.276,338.064,524,0,3
28,543.882,319.738,480,1,1
29,379.938,97.189,449,-1,-1
30,84.786,158.792,336,1,6
31,542.73,307.096,362,1,1
32,430.754,387.635,505,1,3
33,578.63,455.947,350,1,1
34,374.859,346.171,576,0,5
35,185.274,91.51,253,1,4
36,561.465,397.193,502,1,1
37,164.586,286.823,528,0,3
38,131.627,166.382,259,1,6
39,377.094,66.893,497,-1,-1
40,386.608,289.194,603,1,3
41,531.517,393.152,800,1,1
42,157.627,205.548,287,-1,-1
43,181.293,148.633,290,1,6
44,496.5,219.107,527,1,2
45,596.487,299.59,731,1,1
46,545.253,396.722,686,1,1
47,388.901,386.545,532,1,3
48,512.944,271.191,480,-1,-1
49,589.399,453.753,350,1,1
50,310.587,434.139,560,1,3
51,228.186,404.266,680,0,3
52,506.635,61.938,564,1,7
53,90.808,151.571,331,1,6
54,506.356,340.464,322,1,1
55,253.467,414.664,617,0,3
56,572.642,309.685,797,1,1
57,456.952,309.309,530,1,3
58,656.773,117.59,663,1,1
59,99.84,113.858,237,0,4
60,536.731,342.662,556,1,1
61,563.983,190.306,344,1,2
62,320.544,334.019,680,1,5
63,129.748,415.173,341,1,3
64,564.977,405.809,410,1,1
65,626.168,325.358,337,0,9
66,170.098,278.632,538,1,3
67,243.063,441.616,578,0,3
68,441.856,166.512,631,0,7
69,641.458,402.427,288,1,1
70,165.677,258.368,577,1,3
71,615.776,123.529,544,1,1
72,47.348,173.027,329,1,6
73,286.177,342.244,488,-1,-1
74,42.35,154.636,257,0,6
75,163.808,359.445,503,1,8
76,148.07,264.645,578,1,3
77,473.193,318.137,535,0,3
78,110.273,148.951,341,1,6
79,154.588,342.124,503,1,8
80,216.731,284.403,532,0,3
81,188.031,106.502,245,1,4
82,626.597,408.743,333,1,1
83,145.341,168.382,246,1,6
84,617.981,186.985,794,1,1
85,223.218,98.853,297,1,4
86,646.952,121.884,762,1,1
87,613.055,198.557,773,1,1
88,217.1,353.245,419,-1,-1
89,238.944,336.57,419,-1,-1
90,476.22,155.42,579,1,7
91,169.204,62.771,333,0,4
92,21.128,311.598,598,0,3
93,75.242,182.811,307,0,6
94,353.395,417.424,540,0,3
95,129.201,68.598,251,0,4
