id,d0,d1,distance_calculations,point_type,cluster_id
0,539.512,411.975,489,1,1
1,542.241,147.626,493,0,3
2,653.469,370.728,342,0,9
3,598.586,284.883,616,1,1
4,573.063,294.563,609,0,1
5,139.57,401.381,349,0,5
6,228.97,281.992,493,0,5
7,305.747,94.351,442,1,2
8,610.617,167.19,540,0,1
9,500.45,118.781,498,1,3
10,341.805,361.755,474,1,4
11,128.583,81.599,224,1,2
12,39.105,381.266,422,1,5
13,294.912,421.48,533,0,5
14,189.214,322.73,573,0,8
15,251.889,69.384,318,0,2
16,116.099,296.383,624,0,5
17,86.84,307.898,693,0,5
18,509.272,429.166,733,1,1
19,90.307,73.486,156,1,2
20,269.271,163.342,477,0,6
21,137.112,289.689,559,0,5
22,63.614,406.866,495,0,5
23,224.473,92.762,235,1,2
24,345.226,306.392,752,0,4
25,188.508,282.094,411,1,5
26,531.219,468.525,714,0,1
27,47.276,338.064,571,0,5
28,543.882,319.738,370,1,1
29,379.938,97.189,1217,0,2
30,84.786,158.792,290,0,6
31,542.73,307.096,315,0,1
32,430.754,387.635,410,1,5
33,578.63,455.947,341,0,1
34,374.859,346.171,657,1,4
35,185.274,91.51,213,1,2
36,561.465,397.193,479,0,1
37,164.586,286.823,551,0,5
38,131.627,166.382,253,0,6
39,377.094,66.893,1248,0,2
40,386.608,289.194,533,1,5
41,531.517,393.152,709,0,1
42,157.627,205.548,584,0,6
43,181.293,148.633,206,1,6
44,496.5,219.107,452,0,3
45,596.487,299.59,644,0,1
46,545.253,396.722,589,0,1
47,388.901,386.545,495,1,5
48,512.944,271.191,760,0,3
49,589.399,453.753,334,0,1
50,310.587,434.139,514,0,5
51,228.186,404.266,694,0,5
52,506.635,61.938,501,1,7
53,90.808,151.571,293,0,6
54,506.356,340.464,296,1,1
55,253.467,414.664,663,0,5
56,572.642,309.685,667,0,1
57,456.952,309.309,525,0,5
58,656.773,117.59,565,0,1
59,99.84,113.858,275,0,2
60,536.731,342.662,455,0,1
61,563.983,190.306,330,1,3
62,320.544,334.019,608,1,4
63,129.748,415.173,265,1,5
64,564.977,405.809,375,0,1
65,626.168,325.358,363,0,9
66,170.098,278.632,471,0,5
67,243.063,441.616,811,0,5
68,441.856,166.512,703,1,7
69,641.458,402.427,226,1,1
70,165.677,258.368,521,1,5
71,615.776,123.529,533,1,1
72,47.348,173.027,287,0,6
73,286.177,342.244,797,0,4
74,42.35,154.636,258,0,6
75,163.808,359.445,396,0,8
76,148.07,264.645,503,1,5
77,473.193,318.137,655,0,5
78,110.273,148.951,321,0,6
79,154.588,342.124,359,1,8
80,216.731,284.403,612,0,5
81,188.031,106.502,244,0,2
82,626.597,408.743,282,0,1
83,145.341,168.382,203,1,6
84,617.981,186.985,671,0,1
85,223.218,98.853,249,1,2
86,646.952,121.884,552,1,1
87,613.055,198.557,654,1,1
88,217.1,353.245,709,0,8
89,238.944,336.57,893,-1,-1
90,476.22,155.42,432,1,7
91,169.204,62.771,438,0,2
92,21.128,311.598,636,0,5
93,75.242,182.811,332,0,6
94,353.395,417.424,548,0,5
95,129.201,68.598,299,0,2
96,170.357,371.301,344,1,8
97,320.928,424.827,441,1,5
98,516.402,86.344,493,1,7
99,359.776,423.584,652,1,5
100,638.394,86.56,631,1,1
101,150.483,75.369,311,1,2
102,600.056,427.462,317,0,1
103,547.3,454.506,294,0,1
104,135.7,272.295,548,1,5
105,369.292,363.919,743,0,4
106,127.582,87.002,224,1,2
107,558.186,327.88,672,0,1
108,297.021,261.792,397,1,5
109,160.971,335.471,352,1,8
110,228.677,408.656,624,1,5
111,303.34,79.885,439,1,2
112,199.937,144.56,261,0,6
113,126.147,426.478,400,1,5
114,536.092,243.267,360,1,3
115,211.456,169.444,258,1,6
116,628.419,173.817,758,0,1
117,555.274,280.163,293,0,1
118,284.823,433.442,517,0,5
119,205.844,156.135,262,0,6
120,252.94,342.634,828,-1,-1
121,289.777,85.092,468,1,2
122,161.942,107.855,282,1,2
123,678.87,439.985,59,0,1
124,668.521,441.215,72,1,1
125,496.813,353.348,374,0,1
126,473.495,40.795,730,0,7
127,136.165,234.909,577,0,5
128,331.537,277.279,345,0,5
129,227.754,161.722,332,1,6
130,29.654,94.833,108,1,2
131,59.145,134.665,218,0,6
132,567.411,281.058,450,0,1
133,345.661,333.121,503,1,4
134,410.204,399.163,430,1,5
135,427.973,313.829,447,1,5
136,544.441,446.594,241,1,1
137,199.862,417.181,521,1,5
138,314.309,322.429,558,0,4
139,50.759,82.452,110,1,2
140,584.99,401.861,243,1,1
141,435.266,158.349,626,0,7
142,43.442,345.701,588,0,5
143,105.735,266.323,280,1,5
144,167.479,175.306,260,0,6
145,154.638,357.753,426,0,8
