id,max_eps,min_eps,|rnn|,[knn],[rnn]
0,340.377,11.4301,36,[ 3481 2913 3861 6858 2578 8085 617 7831 5525 3328 9094 6396 6877 3376 1450 8104 6180 2956 9525 6037 7562 8190 5085 3785 2661 4466 5599 1151 1609 4255 7792 6416 5219 8831 0 ],[ 3481 3376 1450 8085 8104 8190 6587 6180 1151 5599 7562 8831 4255 6396 5085 2913 9525 6416 6877 1609 9210 5219 7792 3785 6858 4466 2661 2956 6037 5525 3861 7831 2578 3328 9094 617 ]
1,330.061,13.9335,30,[ 5896 2422 2558 4094 2637 524 871 6164 3738 712 2653 5414 5864 287 5841 3724 1374 6148 1813 968 7251 2591 6716 8694 1164 895 2507 1246 9116 6583 5552 3028 3418 5627 1 ],[ 5896 5341 6164 871 5864 5841 2591 1813 6148 6583 287 524 3724 5627 9116 1164 968 3738 3418 7251 6716 3028 895 5552 2653 1374 1246 2507 8694 712 ]
2,97.249,17.0379,27,[ 5006 7961 6467 482 6641 3543 4730 1885 269 3136 4416 7218 6471 9018 8035 8360 8976 183 5701 5150 9284 2749 8452 7099 1610 1593 8172 1849 7381 6717 6138 2180 3162 193 2 ],[ 2979 3136 8360 7099 1849 7381 9284 1610 8172 3162 6717 6138 193 5150 2180 8035 1593 8452 5701 2749 183 269 6471 8976 6467 8980 5899 ]
3,262.342,12.0807,40,[ 6275 1846 5463 1058 3739 5719 3184 6221 4451 1665 3756 7876 7529 2197 697 6129 4665 147 4557 1059 1417 2682 5285 4978 5857 7647 9047 4836 2569 8692 7351 5832 4699 4318 3 ],[ 3184 3674 4384 5719 6129 2682 2197 4978 3756 147 7647 5285 8692 2569 1059 4665 4836 7876 4557 6221 4318 4699 5832 6275 5857 1665 7351 697 9047 8019 1417 4451 7529 1759 6140 5463 6463 1846 2145 2560 ]
4,208.439,11.9131,32,[ 2845 150 6911 7362 8255 1106 3511 8710 7344 6525 7174 5256 1183 7422 9487 6410 4727 1655 4190 5416 5873 1526 3388 2299 3796 5480 9424 6394 2658 4755 3096 3985 7655 7224 4 ],[ 7362 3511 7174 4727 5416 6410 3388 2299 5480 3796 9487 6394 9256 3985 7655 2658 1526 4755 9424 7224 3096 8710 1655 7422 5873 4190 5256 7344 6525 1183 1106 3070 ]
5,413.736,14.9555,28,[ 4719 7566 3085 5923 6825 5534 8450 1745 851 7019 5596 5927 965 3964 1770 3827 7206 5783 6628 5933 3962 4639 2792 7501 6237 4400 817 1677 6444 7999 6775 3285 4956 470 5 ],[ 4719 851 3964 6628 4400 5783 6237 6775 7999 817 4956 5596 5927 6444 3285 7206 470 4639 3827 965 2792 1677 7019 5933 3962 7501 1770 1745 ]
6,225.111,14.5547,31,[ 7824 9716 2714 9416 748 80 6855 5817 5523 7667 2258 5421 4685 5004 2220 2426 1576 8137 6910 7850 6531 2684 7059 9889 807 2168 4517 6864 2931 6153 7768 5886 3530 929 6 ],[ 6855 1576 2426 8137 807 2258 7059 2684 80 6910 7768 6531 2931 2168 5886 4517 6153 9716 7850 3530 929 9889 5004 5421 5817 2220 6864 8582 4685 748 1159 ]
7,383.195,12.719,37,[ 9737 8382 5460 8898 931 5592 645 2572 6665 5966 4056 6882 4453 1744 6891 949 6296 1816 7142 5325 4545 3673 8987 9539 3062 3381 7838 4503 5152 8727 4728 6217 8947 1958 7 ],[ 5966 1816 6891 3673 5325 9539 6665 5152 4453 3216 1744 7838 3062 8727 7328 949 6217 645 5592 4728 9737 4056 5993 1958 8947 7142 4545 4503 3381 8987 6882 6296 5460 2572 1647 1197 8898 ]
8,311.326,13.3278,32,[ 2991 4599 5773 1682 3941 926 8432 7778 3190 3906 5051 7023 8242 9457 216 6731 3051 3046 5185 9405 1501 6178 3723 6893 8070 327 6409 7696 8126 1365 904 1928 2187 2978 8 ],[ 8432 5051 467 3723 3906 4599 1365 6178 1928 904 2991 8126 2187 2978 7023 3051 926 3046 327 3190 216 6409 7696 6893 1501 8070 9405 6731 8242 5185 7778 9457 ]
9,369.338,13.2156,36,[ 1121 8996 2541 3191 9717 5008 7544 9733 8200 8210 7083 5087 5778 2326 3181 4231 9023 5959 4294 6612 7078 4120 1993 3971 6712 6799 7829 5194 7123 6130 1088 1549 9967 755 9 ],[ 3435 9717 8200 5778 7832 6612 8210 5226 9733 8996 781 9967 7544 1993 7083 5959 4294 755 4822 1549 6799 5194 6712 1088 6130 7123 4231 3181 3971 7078 7829 4120 9023 2326 5087 3191 ]
10,344.804,11.8916,41,[ 1263 2003 2142 288 7473 3221 3660 1019 7161 621 5181 9288 3314 2500 692 217 4916 375 6327 9742 3671 460 8717 1829 3732 2135 9454 291 7380 8415 9406 5063 8501 3652 10 ],[ 8591 7473 1263 3221 9742 460 288 621 2142 692 9454 3314 291 9043 9406 8501 5063 6327 3652 1829 5181 8415 7380 7176 4916 3671 8717 217 1019 2135 3660 375 3732 2500 9288 261 7161 2003 8977 5539 5384 ]
11,135.885,13.0157,36,[ 95 234 374 987 6551 3514 8842 2051 7414 3243 5306 9191 3460 4656 1560 1128 3787 7170 6204 9732 1110 6468 1131 1897 6407 702 6281 3876 9069 4992 106 8288 3254 5866 11 ],[ 1644 3514 6204 2051 3310 9732 6468 3243 8143 1110 95 234 3254 9069 1560 8288 1131 6407 8698 1128 3787 6281 7170 106 5306 5866 3876 4992 1897 702 4656 3460 9191 7414 8842 374 ]
12,358.302,12.4018,45,[ 1686 570 7239 6751 4624 5849 888 5983 1654 2869 7475 199 8098 5681 2446 2961 6713 3090 5799 8965 2341 8857 4605 9427 1341 799 7432 3554 3831 6563 640 7935 779 6139 12 ],[ 2729 6751 199 888 6715 2869 2149 3090 3831 5983 1686 779 7935 5681 2341 8965 6713 6211 6139 7432 4605 640 799 2961 2446 6563 5799 8857 8098 3554 1341 9427 7475 7183 1590 1654 7239 5849 4624 570 6219 5367 4229 1314 1279 ]
13,438.089,13.7474,34,[ 790 1231 9972 8100 5739 7608 4969 4044 2793 8868 2712 3089 9498 6623 7203 8753 283 7077 8221 5530 9338 5347 6104 3211 4233 7706 5179 1624 4309 7452 8927 9934 2685 8909 13 ],[ 7203 8753 283 3089 2793 5530 4044 6104 8868 5179 9338 9934 3211 7706 8909 8221 2685 1624 7077 4233 7452 8927 4309 5347 2712 6623 9499 9498 9446 8005 4969 5739 1534 6271 ]
14,266.499,17.1296,31,[ 4746 9496 2728 9357 3856 7788 8277 5375 164 784 7941 1463 5124 546 4794 7266 8434 1477 1215 6902 5001 9865 7013 7615 9827 4791 9968 956 6580 8921 1856 6175 8455 5850 14 ],[ 1780 9718 7941 5375 546 784 7615 7266 7013 9968 8434 1856 6175 5850 8455 1477 5001 6580 6902 956 8921 9827 4791 9865 5124 1215 6746 7788 4794 2641 1463 ]
15,300.62,16.3289,31,[ 6123 3568 4224 7325 1679 7060 5976 9433 5854 8765 6478 7508 3762 777 4335 2673 7506 5949 588 4420 1775 6489 267 2772 6811 1436 6744 5608 8746 9883 2626 4093 689 7628 15 ],[ 7479 7325 5854 4335 267 6811 2673 2626 2772 7506 5608 7628 689 5949 4093 588 8746 1436 3762 1775 9883 6771 6744 4420 6489 777 8765 473 6773 842 2030 ]
16,287.102,15.3948,24,[ 3127 6314 637 1581 2502 8121 5146 523 4897 446 1006 9049 1354 6004 5943 5387 7877 9799 4266 1397 8106 6362 1544 4465 5566 3665 9075 4091 9866 714 2847 7111 3060 3220 16 ],[ 5943 6004 6362 4266 3665 8106 5566 9049 1397 4091 9866 5387 4465 714 7877 1544 9075 9799 446 2847 3220 3060 7111 8258 ]
17,304.602,17.8391,27,[ 660 9449 5250 4203 2278 1727 7237 4844 8884 6939 3830 9657 8184 1284 8122 2242 2050 2753 5700 9097 2565 8394 2456 7041 2165 9794 8771 4574 2618 9965 3523 9479 2033 7399 17 ],[ 5700 2565 8394 8771 4574 9965 7041 3523 9479 2033 7399 2165 2242 2456 9794 8122 6939 2618 1284 9097 2278 5250 7723 3233 5787 7952 6983 ]
18,381.264,14.1957,42,[ 3977 303 3275 8038 3143 2381 9447 2820 9592 7646 7701 5520 204 3377 1283 5605 324 1448 4593 7751 4286 353 8657 4792 8503 8118 8609 9607 4048 6056 5419 1481 6092 296 18 ],[ 391 7593 3228 1052 3179 4478 3909 3143 8503 353 5175 5419 2820 8118 4048 1481 296 9592 9447 7701 8363 6056 6092 9828 7646 8580 324 8657 9607 8609 4593 4792 5520 4286 1283 7751 5605 1448 3377 204 9884 8038 ]
19,94.7678,15.8954,36,[ 3155 9236 8398 8011 7194 2830 3885 7222 8331 4507 9216 9249 1986 6445 9807 3491 1758 9896 3270 1255 7444 4246 5323 4539 7669 9593 3441 8050 7370 5487 8890 723 5074 6233 19 ],[ 5889 6966 3491 1986 4246 2345 458 9249 5060 3441 7669 8890 8369 723 4592 5074 6233 9774 2115 5323 4539 9593 3270 9896 7444 8050 5487 7370 1255 9236 1758 6445 9807 9216 4507 3885 ]
20,298.737,12.7114,32,[ 3803 6235 6550 415 5821 4374 4829 6309 624 1737 6991 8174 573 3736 9637 2202 8341 2271 9510 1724 9573 3053 858 1551 7374 9926 1009 6090 7920 8810 729 3125 2056 8823 20 ],[ 6235 415 4829 6550 1724 6090 858 6991 729 6309 3736 8823 3125 7374 8341 2056 8810 7920 9926 1009 9573 9637 1551 3053 8174 9510 2271 2202 573 624 1737 5821 ]
21,298.437,14.1511,34,[ 6851 9049 4682 6166 5387 6389 7877 1381 7937 9799 8466 5360 8008 6483 637 1581 446 362 2481 6314 2502 6630 5400 5199 9681 6080 792 1543 9659 9841 4328 5333 2419 6018 21 ],[ 8466 7937 9049 6166 6483 2481 362 637 5387 6080 1581 9681 1543 7877 4328 5360 9799 5400 6314 446 9659 2502 2419 6630 9841 5199 5333 6018 6389 792 6450 1381 8008 3269 ]
22,469.642,16.975,33,[ 6286 8757 4855 8378 5255 2731 3318 6346 348 2508 1569 247 7799 4963 9201 1172 6758 1220 2982 2975 4090 4079 5126 461 1033 7460 9893 8516 5031 8543 967 4035 3863 453 22 ],[ 1172 6758 2975 1569 5126 7799 4079 7460 1220 9893 5031 1033 8543 967 9201 4090 8516 3863 4963 453 4035 461 2982 247 4373 9295 6487 9989 2075 1795 2101 6738 1984 ]
23,250.19,11.7998,37,[ 7417 2427 560 6342 6280 4838 9516 8376 5242 4578 8903 4177 1692 1538 7050 2993 5132 7292 411 5335 8555 9839 1282 1099 85 5615 1838 6918 392 2262 1262 1916 1814 4194 23 ],[ 2427 4838 9516 1692 6280 4177 8376 2993 7292 5242 3259 5335 560 1838 3621 1916 411 1099 1282 1262 9839 5615 8555 4194 85 2262 6918 1814 4578 1538 392 6342 2938 5132 8903 709 7050 ]
24,288.227,16.7252,27,[ 5987 3235 4649 8974 8440 3763 3146 1546 2213 4323 7308 616 1432 2006 1272 8998 1715 959 8034 6026 3931 4565 2275 7231 5257 7247 9564 3041 8981 7185 9823 5227 6049 7086 24 ],[ 8440 4565 2006 9564 8034 8981 959 4323 5227 6049 8998 1715 1546 7086 8974 9823 5257 7185 1272 3041 7247 7231 2275 3931 6026 7308 8243 ]
25,290.782,11.9184,37,[ 8678 7458 331 4169 5228 5784 1359 2537 9975 897 5947 1223 9131 9901 5916 8879 3561 6863 5713 8859 3955 7309 7168 7722 1350 3200 4206 6448 6833 4981 1603 1327 1462 1768 25 ],[ 8678 5916 9901 3561 5947 9975 3200 3955 4981 6833 6448 2537 1223 8879 897 7722 1462 1603 5713 1768 7309 1327 9131 8859 4206 1350 7168 6863 1359 7458 7784 4169 8087 1553 1780 5451 4341 ]
26,432.364,27.4332,9,[ 4370 5708 3058 961 4017 9395 136 1187 4985 3701 5430 4827 5507 3989 1174 342 2460 9885 1940 6875 103 4457 800 6036 7172 9674 9065 775 1825 441 8955 794 3016 3894 26 ],[ 4922 9432 5775 775 8955 3894 441 794 3016 ]
27,405.23,15.8957,28,[ 8652 4918 4455 7412 2644 5112 667 4923 6411 3419 6485 3525 1963 2855 7371 8402 2120 1632 6212 6198 2532 2285 8127 7228 9335 142 7249 6497 6703 2990 9053 1389 6304 3110 27 ],[ 2120 7371 2285 1963 3419 4923 7249 6198 9335 6497 8127 1632 3110 9053 6485 6304 2990 3525 8315 1389 142 6212 6703 2532 7228 8402 667 6698 ]
28,245.23,12.3728,36,[ 7612 4941 4715 3784 3292 4789 7946 2559 6865 7930 4929 3456 9996 975 1229 4126 4660 555 7890 3753 8177 4661 2723 1405 6441 4895 2804 3884 3948 1731 7698 2017 9712 862 28 ],[ 4715 4974 9974 3456 975 3292 7890 31 4941 6441 6591 1855 4895 3948 2804 2017 8177 3884 1731 862 4929 9712 4661 3784 7698 2723 4126 2559 1405 4660 3753 555 9996 1229 7930 6865 ]
29,442.981,41.9784,30,[ 5911 9381 9345 3801 3976 268 3466 7747 9050 4795 9916 4280 6589 39 8683 7836 4742 3100 1893 3620 2766 3431 328 3848 4691 207 8638 2491 8656 2535 2575 8964 5721 9933 29 ],[ 328 3848 1893 207 8656 8540 3801 2491 3976 8683 9848 39 3620 9050 4691 3690 8964 5721 3431 2575 2535 8638 9381 9933 6589 4280 9345 4742 7173 2766 ]
30,131.507,12.6116,32,[ 9028 4859 1442 6661 1752 9178 6718 4244 539 952 3007 943 1020 53 1817 1528 3877 6269 9211 2402 7741 1728 2848 9316 3163 402 2158 1688 3289 3911 2230 5394 1010 4472 30 ],[ 5246 1020 2347 3877 9211 2402 1728 9316 3911 53 3163 1817 4472 7741 6269 539 1010 3007 5394 943 2230 952 1688 2848 3289 402 2158 4244 6718 1528 9028 1442 ]
31,177.334,13.653,33,[ 4715 9312 862 28 2723 2489 7890 9871 2634 4018 476 4726 5913 4706 1014 8953 7538 1731 3948 3784 5478 2804 3465 6441 4895 4929 8089 9290 3456 1855 3292 718 222 4941 31 ],[ 1029 1961 8736 3255 8026 3687 5913 9871 3465 8089 4726 8953 2634 3456 3292 7890 4941 222 718 6441 1855 4895 3948 9290 2804 5478 1731 1014 4929 7538 4706 3784 476 ]
32,373.452,11.9099,42,[ 5147 577 4101 2896 8120 6873 9458 6981 1161 4608 4333 6925 1628 8511 7977 8485 8632 861 9068 8447 3508 9955 1483 6787 5808 9942 7923 4132 6239 5679 8702 9962 3371 5259 32 ],[ 8354 6981 6925 6787 8120 4132 8511 1483 8227 3508 9458 9068 9962 9522 1628 6873 4101 4608 577 5259 8702 3371 9955 7977 8485 861 5679 6239 4333 9942 7923 1161 7293 6600 5808 5147 8447 7020 8632 5822 1703 6291 ]
33,249.003,14.4469,33,[ 1550 623 3539 882 3991 4188 49 7687 9691 9507 870 8569 7881 1243 6205 584 1141 4306 8619 6854 3126 9517 4001 4032 5863 4597 284 1383 5540 5409 8183 1802 4975 4937 33 ],[ 3539 7881 4306 8619 3126 9507 9691 5863 1037 4188 870 4597 6205 584 1802 4937 1141 4975 7687 5409 4001 5540 284 3991 8183 1383 4032 6854 9517 49 1243 8569 5815 ]
34,310.952,17.4302,35,[ 4734 1252 4627 7270 7115 2614 9384 4392 5945 6729 7611 159 7721 5284 2733 1617 4067 8621 7933 4376 208 9927 1431 7109 5711 5855 2350 1635 1074 6294 1614 5456 1811 4227 34 ],[ 9384 5284 7721 2733 4067 1617 7115 7933 5855 6729 1431 2350 1635 159 4392 1074 1614 9927 5456 6294 1811 4227 208 7270 5711 7611 1252 4376 7109 105 6274 8621 8622 1771 8827 ]
