id,d0,d1,distance_calculations,point_type,cluster_id
0,539.512,411.975,9999,1,1
1,542.241,147.626,9999,1,2
2,653.469,370.728,9999,0,9
3,598.586,284.883,9999,1,1
4,573.063,294.563,9999,1,1
5,139.57,401.381,9999,1,3
6,228.97,281.992,9999,1,3
7,305.747,94.351,9999,1,4
8,610.617,167.19,9999,1,1
9,500.45,118.781,9999,1,2
10,341.805,361.755,9999,1,5
11,128.583,81.599,9999,1,4
12,39.105,381.266,9999,1,3
13,294.912,421.48,9999,1,3
14,189.214,322.73,9999,0,8
15,251.889,69.384,9999,0,4
16,116.099,296.383,9999,0,3
17,86.84,307.898,9999,0,3
18,509.272,429.166,9999,1,1
19,90.307,73.486,9999,0,4
20,269.271,163.342,9999,1,6
21,137.112,289.689,9999,1,3
22,63.614,406.866,9999,0,3
23,224.473,92.762,9999,1,4
24,345.226,306.392,9999,0,5
25,188.508,282.094,9999,1,3
26,531.219,468.525,9999,-1,-1
27,47.276,338.064,9999,0,3
28,543.882,319.738,9999,1,1
29,379.938,97.189,9999,-1,-1
30,84.786,158.792,9999,1,6
31,542.73,307.096,9999,1,1
32,430.754,387.635,9999,1,3
33,578.63,455.947,9999,1,1
34,374.859,346.171,9999,0,5
35,185.274,91.51,9999,1,4
36,561.465,397.193,9999,1,1
37,164.586,286.823,9999,0,3
38,131.627,166.382,9999,1,6
39,377.094,66.893,9999,-1,-1
40,386.608,289.194,9999,1,3
41,531.517,393.152,9999,1,1
42,157.627,205.548,9999,-1,-1
43,181.293,148.633,9999,1,6
44,496.5,219.107,9999,1,2
45,596.487,299.59,9999,1,1
46,545.253,396.722,9999,1,1
47,388.901,386.545,9999,1,3
48,512.944,271.191,9999,-1,-1
49,589.399,453.753,9999,1,1
50,310.587,434.139,9999,1,3
51,228.186,404.266,9999,0,3
52,506.635,61.938,9999,1,7
53,90.808,151.571,9999,1,6
54,506.356,340.464,9999,1,1
55,253.467,414.664,9999,0,3
56,572.642,309.685,9999,1,1
57,456.952,309.309,9999,1,3
58,656.773,117.59,9999,1,1
59,99.84,113.858,9999,0,4
60,536.731,342.662,9999,1,1
61,563.983,190.306,9999,1,2
62,320.544,334.019,9999,1,5
63,129.748,415.173,9999,1,3
64,564.977,405.809,9999,1,1
65,626.168,325.358,9999,0,9
66,170.098,278.632,9999,1,3
67,243.063,441.616,9999,0,3
68,441.856,166.512,9999,0,7
69,641.458,402.427,9999,1,1
70,165.677,258.368,9999,1,3
71,615.776,123.529,9999,1,1
72,47.348,173.027,9999,1,6
73,286.177,342.244,9999,-1,-1
74,42.35,154.636,9999,0,6
75,163.808,359.445,9999,1,8
76,148.07,264.645,9999,1,3
77,473.193,318.137,9999,0,3
78,110.273,148.951,9999,1,6
79,154.588,342.124,9999,1,8
80,216.731,284.403,9999,0,3
81,188.031,106.502,9999,1,4
82,626.597,408.743,9999,1,1
83,145.341,168.382,9999,1,6
84,617.981,186.985,9999,1,1
85,223.218,98.853,9999,1,4
86,646.952,121.884,9999,1,1
87,613.055,198.557,9999,1,1
88,217.1,353.245,9999,-1,-1
89,238.944,336.57,9999,-1,-1
90,476.22,155.42,9999,1,7
91,169.204,62.771,9999,0,4
92,21.128,311.598,9999,0,3
93,75.242,182.811,9999,0,6
94,353.395,417.424,9999,0,3
95,129.201,68.598,9999,0,4
96,170.357,371.301,9999,1,8
97,320.928,424.827,9999,1,3
98,516.402,86.344,9999,1,7
99,359.776,423.584,9999,0,3
100,638.394,86.56,9999,1,1
101,150.483,75.369,9999,1,4
102,600.056,427.462,9999,1,1
103,547.3,454.506,9999,1,1
104,135.7,272.295,9999,1,3
105,369.292,363.919,9999,0,5
106,127.582,87.002,9999,1,4
107,558.186,327.88,9999,1,1
108,297.021,261.792,9999,1,3
109,160.971,335.471,9999,1,8
110,228.677,408.656,9999,1,3
111,303.34,79.885,9999,1,4
112,199.937,144.56,9999,1,6
113,126.147,426.478,9999,1,3
