id,|eps_neighbourhood|,eps_neighbourhood
0,76,[ 0 8733 445 17 11248 14250 8315 214 15950 9554 3844 1597 2741 8667 2536 8781 1759 2355 186 14121 3406 728 6032 14771 17660 2440 327 15264 9991 4064 12856 8662 1596 39 13532 1463 13817 3630 16049 1130 3702 3862 14238 7690 16619 17756 19835 15156 2689 14155 70 5239 11309 2227 6555 19403 1609 9786 14718 12648 7508 4889 15695 10768 1155 15483 10345 14020 13340 19053 17926 10391 3446 18488 13880 11902 ]
1,10,[ 1 8627 2694 6629 125 1447 3300 4029 15876 4345 ]
2,2,[ 2 8822 ]
3,53,[ 3 15120 1319 4831 19748 14635 15012 1467 16909 9628 6775 4800 12008 13910 2955 16707 4923 13722 15375 13216 15924 4013 7930 4783 6060 18669 18830 18087 1822 19260 17289 5066 4571 14538 16838 19300 10475 16722 7797 6068 6886 9834 5956 405 19605 8646 8255 2034 5111 11297 12351 11387 18453 ]
4,21,[ 4 4857 12672 15097 11680 3659 16087 13155 7072 19171 18320 5436 14589 18773 9525 2775 17854 13342 17300 11835 19263 ]
5,16,[ 5 13243 19331 19020 17126 15901 15526 8357 18460 775 8111 12740 15919 8617 2020 15744 ]
6,13,[ 6 10871 3684 19397 11670 8935 15261 1239 3468 18762 9551 11120 3950 ]
7,38,[ 6382 16974 7 13031 12951 2001 8550 5343 5931 11074 16061 16917 6736 14686 7633 14256 679 861 7506 17801 16396 15508 8006 19447 5850 19555 8248 17194 18994 5196 7454 2336 7824 16293 15280 8230 3197 19168 ]
8,12,[ 8 11951 4658 18832 18576 1842 3744 12036 3966 2664 18064 16622 ]
9,40,[ 9 5930 17839 8604 14067 5503 18054 8826 4344 18358 12950 14322 3296 19315 17168 15935 7822 13699 4077 14560 11118 15446 4698 6391 4476 11617 17578 8689 3093 6071 14399 500 15511 18904 13947 16150 12264 10717 17993 2812 ]
10,45,[ 10 16437 17949 9074 18905 8557 11928 17832 2874 3834 13790 9473 7590 3648 12339 1254 122 9552 10952 7270 15010 6134 2203 6713 16516 410 9411 2537 12624 11604 11479 9255 10003 5716 2064 4843 15883 5775 5401 18567 8847 4189 521 14947 10236 ]
11,4,[ 11 9266 8562 5310 ]
12,2,[ 12 9838 ]
13,14,[ 13 11367 13400 5918 5007 7186 7573 16338 17043 10088 6046 15670 2492 15399 ]
14,2,[ 14 17533 ]
15,8,[ 15 13150 8253 7336 11488 6484 17206 5981 ]
16,18,[ 16 3444 5307 11236 15978 7232 8436 2357 12884 12437 9043 15419 3762 6678 17933 3384 4418 18145 ]
17,76,[ 17 0 8315 445 214 8733 11248 14250 15950 9554 1759 3844 1597 2741 8667 3406 2536 2355 8781 186 17660 7690 6032 19835 15264 2689 3862 13532 14771 728 14121 6555 5239 11309 12856 1596 14718 9786 8662 4064 16619 16049 1463 14238 5629 12648 1130 13817 327 3630 2440 17756 15156 14602 18488 14155 264 9991 14097 10391 6689 39 11902 1284 8734 15483 7508 19053 15695 10345 3702 13340 4889 12403 10768 8434 ]
18,31,[ 18 4016 17751 10943 16604 9457 4021 12284 18863 657 11055 13145 903 9781 4943 9447 4081 764 4383 17694 13042 17104 18094 3883 11439 2111 14455 17825 1833 4260 13687 ]
19,29,[ 19 6607 18387 19012 8609 19354 17900 17344 11492 2709 16328 15285 14170 2436 11652 4648 11251 10121 11713 9071 9298 9871 9936 2320 16743 6524 2636 13291 18231 ]
20,16,[ 20 6731 6805 15686 14532 5037 4670 15282 198 4514 3620 4993 6814 7999 12354 12231 ]
21,58,[ 21 7422 5460 16043 1077 9686 14733 14687 14853 6876 15532 19763 18340 2487 12135 318 6048 4694 14917 7431 7513 8222 18886 1984 14979 19213 17364 12855 16660 12962 16890 850 18665 11390 12661 3325 3467 14572 2480 19058 4472 18248 5170 931 9515 9292 16453 1397 18254 8428 15725 2994 4373 16080 7500 6937 5065 2393 ]
22,80,[ 2231 6202 22 4160 19583 1504 8697 3343 17519 3722 5609 12251 2873 7512 5733 15064 1378 18439 11932 10858 2782 6274 8953 15089 9546 6266 609 479 14670 9135 15185 5110 5892 15277 11274 13602 4115 12734 19381 8201 3967 14124 7135 1272 3859 7230 11431 11042 7693 14440 2647 480 18302 8832 805 16957 6254 19317 2580 1798 18176 513 18402 6622 13259 914 3236 18014 18345 11560 14984 555 8586 727 16348 5127 17971 2722 6986 1011 ]
23,74,[ 23 6176 15900 7353 13409 3758 6343 13620 7150 17053 5092 16613 11258 1832 704 143 2335 14695 16372 13870 4193 12039 18329 3309 1527 408 12719 12511 2080 14925 6000 8353 3238 5787 17225 17069 1326 6733 3501 19916 1584 13719 4629 1612 8272 11151 6748 9293 19398 10496 7461 909 7215 13827 15409 9427 3904 1340 4073 12501 1871 11180 7594 7149 2090 11333 1472 16054 297 9627 19339 248 3964 6315 ]
24,2,[ 24 5114 ]
25,2,[ 25 15940 ]
26,27,[ 26 10388 13531 17474 2885 11082 14520 11970 11223 1829 4229 7697 6625 18036 14215 19638 17826 7585 14358 11339 16926 734 11101 15680 14714 5635 1142 ]
27,118,[ 8831 3157 27 10997 7464 15195 19720 16961 8910 12097 7350 5119 18525 992 1650 16839 6014 4504 15563 15431 19730 1376 6318 11421 19178 16418 4072 9910 18996 17329 11433 6552 13273 9375 19846 11898 4237 2368 6237 14423 4500 8227 4242 16003 10384 3127 8610 12492 19311 18441 16593 16340 2618 17713 16287 11710 16427 17433 7346 3540 6091 4731 5192 5864 19695 13135 7006 12176 2551 5947 2950 19596 7198 19639 159 15057 11242 11472 2149 19291 11933 18835 389 4424 13369 13641 19017 15399 5031 12784 8901 11141 14075 5695 13820 16342 3260 15265 1039 87 11791 2665 7889 17604 6090 8642 14287 10153 4436 14083 16962 9231 1580 5193 9902 16276 108 2212 ]
28,20,[ 28 9879 19924 12095 2305 8929 19099 14629 16011 7544 16065 11920 16804 4671 5891 12476 17731 9730 11460 14760 ]
29,16,[ 29 1843 12910 5355 13083 17838 3935 13914 13637 13759 4474 2769 12866 203 2922 15278 ]
30,26,[ 30 2311 11776 10180 12317 596 17989 6082 12357 14161 13792 14072 12807 1262 14942 19887 2523 2371 16044 3299 3692 17279 8198 9909 8445 7112 ]
31,77,[ 31 3951 17091 2530 7445 6596 15540 15085 3367 13035 18003 7973 1615 7326 4090 5328 12266 8563 2852 10893 15210 12970 14053 3517 11682 5106 3261 14201 15983 16248 11126 10201 13153 12689 2353 1208 8277 19024 11915 236 16988 12607 10462 19344 10470 10175 16460 2851 5673 19291 5665 5983 16981 1839 11933 16357 15454 18657 4866 13510 14976 5695 7359 4071 10612 17857 18454 6237 440 18306 6222 1671 2030 1621 8850 5429 16570 ]
32,8,[ 32 7365 11860 1670 6097 4300 1946 3365 ]
33,26,[ 33 5848 10525 17584 9720 3643 8192 4977 788 9390 18700 3211 16229 2141 16152 19177 8777 13635 18957 1594 19620 17337 2784 6015 2173 19279 ]
34,54,[ 5780 34 7055 16349 12584 15886 14869 3763 18850 4561 6493 14763 5102 11229 19840 18807 8967 8381 519 15088 4299 3227 12924 2695 7421 6630 13640 7079 7284 439 11838 14921 2322 13550 10010 5502 9757 3835 13426 17421 14251 3413 6149 1227 14643 17158 18432 17208 6056 19771 14795 19212 5585 6335 ]
35,4,[ 35 4827 3001 8265 ]
36,5,[ 36 10469 10103 9120 19873 ]
37,27,[ 37 3244 4824 3740 7218 15577 14783 13277 1578 17171 2948 4854 5532 8526 5161 624 11780 9945 7257 15183 2437 16702 302 14471 14049 13811 6569 ]
38,39,[ 38 13125 1813 9324 697 15581 19078 18198 7965 6699 4779 13679 1791 15197 7883 15671 646 15094 2141 18859 789 14922 7205 17307 4130 6808 18700 7479 1594 18957 788 13635 16263 17584 9720 5895 9390 6510 11366 ]
39,76,[ 39 9991 3702 327 19403 14020 6032 7578 2440 15264 186 70 1597 15950 16678 2355 17926 3844 2741 14155 13142 7508 14771 2536 3630 5270 10345 728 8733 16511 0 1609 11076 10826 11248 15931 17756 17562 1463 1155 17209 445 19436 2118 14360 17132 4262 12856 14250 9184 8662 16566 13532 4889 17 3862 2160 15156 12139 15483 6801 1130 18900 8315 11576 3446 4064 2227 3297 9612 9786 18119 6167 15643 13880 12341 ]
40,12,[ 40 17317 10783 16237 4714 2288 702 1683 213 239 5466 19233 ]
41,44,[ 9588 1141 41 13384 10600 7838 1681 11116 9777 9633 1221 6941 5602 18565 16197 19841 3010 2596 9485 2087 18179 11451 7274 10362 10246 586 1301 12796 19385 17178 19476 9992 1179 16984 6732 3480 5132 7614 11313 1995 15555 15453 7679 12063 ]
42,5,[ 42 6378 16391 18394 19666 ]
43,37,[ 43 3825 482 2015 2426 3563 7627 10351 15254 16452 13085 18344 2550 14762 5979 2968 8306 3894 15449 6277 10232 15391 3385 4979 19700 8915 3217 14679 3548 18118 13112 4696 16078 17785 19929 2117 8824 ]
44,10,[ 44 13024 4070 476 9319 11866 2623 17414 14113 14023 ]
