id,max_eps,min_eps,|rnn|,[knn],[rnn]
0,4.64004e-310,4.64004e-310,36,[ 0 8831 5219 6416 7792 4255 1609 1151 5599 4466 2661 3785 5085 8190 7562 6037 9525 2956 6180 8104 1450 3376 6877 6396 9094 3328 5525 7831 617 8085 2578 6858 3861 2913 3481 ],[ 617 1151 1450 1609 2578 2661 2913 2956 3328 3376 3481 3785 3861 4255 4466 5085 5219 5525 5599 6037 6180 6396 6416 6587 6858 6877 7562 7792 7831 8085 8104 8190 8831 9094 9210 9525 ]
1,4.64004e-310,4.64004e-310,30,[ 1 5627 3418 3028 5552 6583 9116 1246 2507 895 1164 8694 6716 2591 7251 968 1813 6148 1374 3724 5841 287 5864 5414 2653 712 3738 6164 871 524 2637 4094 2558 2422 5896 ],[ 287 524 712 871 895 968 1164 1246 1374 1813 2507 2591 2653 3028 3418 3724 3738 5341 5552 5627 5841 5864 5896 6148 6164 6583 6716 7251 8694 9116 ]
2,4.64004e-310,4.64004e-310,27,[ 2 193 3162 2180 6138 6717 7381 1849 8172 1593 1610 7099 8452 2749 9284 5150 5701 183 8976 8360 8035 9018 6471 7218 4416 3136 269 1885 4730 3543 6641 482 6467 7961 5006 ],[ 183 193 269 1593 1610 1849 2180 2749 2979 3136 3162 5150 5701 5899 6138 6467 6471 6717 7099 7381 8035 8172 8360 8452 8976 8980 9284 ]
3,4.64004e-310,4.64004e-310,40,[ 3 4318 4699 5832 7351 8692 2569 4836 9047 7647 5857 4978 5285 2682 1417 1059 4557 147 4665 6129 697 2197 7529 7876 3756 1665 4451 6221 3184 5719 3739 1058 5463 1846 6275 ],[ 147 697 1059 1417 1665 1759 1846 2145 2197 2560 2569 2682 3184 3674 3756 4318 4384 4451 4557 4665 4699 4836 4978 5285 5463 5719 5832 5857 6129 6140 6221 6275 6463 7351 7529 7647 7876 8019 8692 9047 ]
4,4.64004e-310,4.64004e-310,32,[ 4 7224 7655 3985 3096 4755 2658 6394 9424 5480 3796 2299 3388 1526 5873 5416 4190 1655 4727 6410 9487 7422 1183 5256 7174 6525 7344 8710 3511 1106 8255 7362 6911 150 2845 ],[ 1106 1183 1526 1655 2299 2658 3070 3096 3388 3511 3796 3985 4190 4727 4755 5256 5416 5480 5873 6394 6410 6525 7174 7224 7344 7362 7422 7655 8710 9256 9424 9487 ]
5,4.64004e-310,4.64004e-310,28,[ 5 470 4956 3285 6775 7999 6444 1677 817 4400 6237 7501 2792 4639 3962 5933 6628 5783 7206 3827 1770 3964 965 5927 5596 7019 851 1745 8450 5534 6825 5923 3085 7566 4719 ],[ 470 817 851 965 1677 1745 1770 2792 3285 3827 3962 3964 4400 4639 4719 4956 5596 5783 5927 5933 6237 6444 6628 6775 7019 7206 7501 7999 ]
6,4.64004e-310,4.64004e-310,31,[ 6 929 3530 5886 7768 6153 2931 6864 4517 2168 807 9889 7059 2684 6531 7850 6910 8137 1576 2426 2220 5004 4685 5421 2258 7667 5523 5817 6855 80 748 9416 2714 9716 7824 ],[ 80 748 807 929 1159 1576 2168 2220 2258 2426 2684 2931 3530 4517 4685 5004 5421 5817 5886 6153 6531 6855 6864 6910 7059 7768 7850 8137 8582 9716 9889 ]
7,4.64004e-310,4.64004e-310,37,[ 7 1958 8947 6217 4728 8727 5152 4503 7838 3381 3062 9539 8987 3673 4545 5325 7142 1816 6296 949 6891 1744 4453 6882 4056 5966 6665 2572 645 5592 931 8898 5460 8382 9737 ],[ 645 949 1197 1647 1744 1816 1958 2572 3062 3216 3381 3673 4056 4453 4503 4545 4728 5152 5325 5460 5592 5966 5993 6217 6296 6665 6882 6891 7142 7328 7838 8727 8898 8947 8987 9539 9737 ]
8,4.64004e-310,4.64004e-310,32,[ 8 2978 2187 1928 904 1365 8126 7696 6409 327 8070 6893 3723 6178 1501 9405 5185 3046 3051 6731 216 9457 8242 7023 5051 3906 3190 7778 8432 926 3941 1682 5773 4599 2991 ],[ 216 327 467 904 926 1365 1501 1928 2187 2978 2991 3046 3051 3190 3723 3906 4599 5051 5185 6178 6409 6731 6893 7023 7696 7778 8070 8126 8242 8432 9405 9457 ]
9,4.64004e-310,4.64004e-310,36,[ 9 755 9967 1549 1088 6130 7123 5194 7829 6799 6712 3971 1993 4120 7078 6612 4294 5959 9023 4231 3181 2326 5778 5087 7083 8210 8200 9733 7544 5008 9717 3191 2541 8996 1121 ],[ 755 781 1088 1549 1993 2326 3181 3191 3435 3971 4120 4231 4294 4822 5087 5194 5226 5778 5959 6130 6612 6712 6799 7078 7083 7123 7544 7829 7832 8200 8210 8996 9023 9717 9733 9967 ]
