id,|eps_neighbourhood|,eps_neighbourhood
0,52,[ 0 4255 8831 7562 5599 1151 6180 6587 8190 8104 1764 8085 7426 1450 3376 6582 3481 7715 8113 5304 3164 9020 9376 4036 6396 5085 2913 1685 9525 6416 6877 1609 9210 5219 7792 3785 6858 4466 2661 2956 6037 5525 3861 7831 3647 2578 3328 9094 617 9795 8623 6345 ]
1,43,[ 1 5627 3724 524 287 6583 6148 2637 1813 2591 1698 5841 5864 871 6164 5896 2558 2422 9502 9116 1164 968 3738 3418 7251 6716 3028 895 5552 2653 1374 1246 2507 8694 712 4293 1970 5414 2286 8916 4094 9461 6541 ]
2,26,[ 2 193 6138 6717 3162 8172 1610 9284 7381 1849 9018 7099 7218 8360 3136 5150 2180 4416 8035 1593 8452 5701 2749 183 6471 8976 ]
3,59,[ 3 6221 4557 7876 3739 4836 4665 1059 2569 8692 5285 7647 147 3756 4978 2197 2682 6129 6210 1058 1206 5719 3293 1835 4384 8096 3674 3184 9879 9528 829 1062 3225 4318 4699 5832 6275 5857 3939 1665 7351 697 45 9047 8019 4340 1417 2945 4451 8023 7529 1759 6140 5463 6463 1846 2145 2560 9878 ]
4,56,[ 4 2658 7655 923 6726 3985 5313 6911 9256 6394 9487 3796 5480 5192 2299 3388 7600 641 650 6410 3630 5416 4727 7174 150 132 3511 9576 727 7362 4646 1526 3874 4755 9424 7224 3096 8710 1655 7422 9528 5873 4190 5256 2845 1835 7344 6525 3293 8255 1183 1106 1067 3070 1858 6210 ]
5,35,[ 5 3285 6444 5927 5596 4956 817 7999 6775 6237 5783 4400 6628 3964 851 4719 7206 470 5534 4639 3827 965 2792 1677 7019 5933 3085 3962 7501 7566 1770 6825 1745 8450 5923 ]
6,37,[ 6 929 7102 3530 7850 9716 6153 4517 5886 2168 2931 6531 7768 6910 2714 80 2684 7059 2258 807 7667 8137 2426 1576 6855 7824 9889 5004 9416 5523 5421 5817 2220 6864 5955 4685 748 ]
7,53,[ 7 8947 1958 4056 9737 4728 5592 645 6217 949 7328 8727 3062 7838 1744 3216 4453 5152 111 6665 9539 5325 3673 6891 1816 8382 5966 931 6197 7092 8306 3369 7142 4545 4503 3381 9280 8987 6882 6942 6296 5460 2572 1647 1197 8898 318 3335 1490 5706 6328 2014 9850 ]
8,40,[ 8 1928 6178 1365 4599 3906 3723 5051 8432 904 2991 8126 1682 2187 2978 3941 7023 3051 926 3046 327 3190 216 6409 7696 6893 1501 786 8070 9405 6731 8242 5185 7778 9457 5773 2888 924 2289 8146 ]
9,44,[ 9 5959 7083 1993 7544 9967 8996 9733 5226 8210 6612 7832 5778 8200 9717 4294 755 4822 7651 5232 5514 1549 6799 5194 6712 1088 6130 7123 4231 3181 3971 7078 7829 4120 9023 5008 2326 5087 2541 3191 6426 1121 5283 1127 ]
10,47,[ 10 8501 9406 9043 291 3314 9454 692 2142 621 9552 288 460 9742 3221 1263 7473 8591 9940 2604 5200 5063 6327 3652 1428 1829 5181 8415 7380 7176 4916 3671 8717 217 1019 2135 3660 375 3732 2500 9288 261 7161 2003 8977 5539 5384 ]
11,48,[ 11 8698 7080 6407 1131 8288 1560 9069 3254 234 95 1110 8143 3243 6468 9732 3310 2051 6204 3514 1644 3152 1128 3787 6551 6281 7170 106 5306 5866 3876 4992 8320 1897 987 3239 702 4656 3460 1347 9191 2182 7414 7674 8842 374 3001 7622 ]
12,44,[ 12 4605 7432 6139 6713 8965 2341 5681 7935 779 1686 5983 3831 3090 2149 2869 6715 888 199 6751 8860 2729 7219 5895 640 799 2961 2446 6563 5799 8857 8098 3554 1341 9908 652 9427 7475 7183 1654 7239 5849 4624 570 ]
13,51,[ 13 7706 3211 7378 9934 9338 5179 8868 6104 4044 5530 8302 2793 7300 3089 283 8753 7203 1231 790 7568 7608 8100 9972 2821 3734 5157 7894 4182 8909 8221 2685 1624 7077 4233 7452 8927 4309 5347 771 955 2712 2127 6623 5772 9499 9498 9446 4969 5739 7329 ]
14,29,[ 14 5850 6175 1856 8434 9968 7013 7266 7615 8277 784 546 5375 7941 8455 1477 5001 6580 6902 956 8921 9827 4791 9865 5124 1215 164 4794 1463 ]
15,33,[ 15 689 7628 7508 5976 5608 7506 2772 2626 2673 6811 4224 267 6478 4335 5854 7325 7060 5949 4093 588 9433 8746 1436 3762 1775 1679 9883 6744 4420 6489 777 8765 ]
16,31,[ 16 446 9799 9075 1544 7877 714 4465 5387 9866 4091 1397 9049 5566 8106 3665 4266 6362 6004 5146 1354 5943 523 4897 8121 1006 2502 2847 3220 3060 7111 ]
17,21,[ 17 9794 2456 2242 2165 7399 2033 9479 3523 7041 9965 4574 2050 8771 8394 2565 5700 2753 8122 2618 9097 ]
18,38,[ 18 296 1481 4048 8118 2820 5419 2381 353 3977 8503 3143 4478 3275 9592 9447 7701 6056 6092 7646 324 8657 9607 8609 4593 4792 5520 4286 1283 7751 5605 1448 3377 204 8038 322 303 795 ]
19,32,[ 19 723 8890 7669 7222 3441 9249 4246 1986 3491 2830 5074 6233 5323 4539 9593 3270 9896 7444 8050 5487 7370 1255 1758 6445 7194 9807 9216 4507 3885 8331 8011 ]
20,46,[ 20 6309 729 2631 6991 858 6090 1724 6550 2555 3803 4829 415 6235 2414 1693 3736 8823 3125 7374 8829 8341 2056 8810 7920 3026 9926 1009 9573 9637 1551 3053 8174 9510 2271 2202 573 624 1737 9353 4374 5821 8837 589 8123 6805 ]
21,37,[ 21 5333 5199 9841 6630 2419 2502 9659 446 6851 6314 5400 9799 5360 4328 7877 1543 9681 4682 1581 6080 4465 5387 637 362 2481 6483 6166 9049 7937 8466 6018 6389 792 6450 1381 8008 ]
22,31,[ 22 4963 3863 8516 4090 9201 967 8543 1033 5031 9893 1220 7460 4079 7799 5126 1569 2975 6758 6346 1172 348 2508 2731 3318 453 5255 4035 461 2982 247 ]
23,52,[ 23 8555 5615 9839 7957 1262 1282 1099 411 1916 3621 1838 560 5335 3259 5242 7292 2993 8376 4177 6280 1692 8073 9516 4838 2427 6840 1586 220 4194 85 2262 162 8097 6918 1814 4578 1538 392 6342 2090 2938 1933 5132 8903 709 7050 9317 7417 4439 5921 5265 ]
24,25,[ 24 7086 1715 8998 6049 5227 959 8981 8034 9564 2006 4565 9823 5257 7185 616 1432 1272 3041 7247 7231 2275 3931 6026 7308 ]
25,40,[ 25 5713 1603 1462 7722 897 8879 1223 2537 6448 6833 4981 3955 3200 9975 5947 3561 9901 5916 8678 5784 5228 331 9520 4380 3238 1768 7309 1327 9131 6796 8859 4206 1350 7168 6863 1359 7458 7784 4169 ]
26,6,[ 26 441 3894 8955 794 3016 ]
27,30,[ 27 6304 6485 9053 3110 1632 8127 6497 9335 6198 7249 4923 3419 1963 2285 7371 2120 2855 6411 5112 2990 3525 1389 142 6212 6703 2532 7228 8402 667 ]
28,55,[ 28 1731 3884 8177 2017 2804 9290 3948 4895 1855 6591 6441 718 222 4941 31 9721 7890 3292 975 3456 9974 4720 4974 4715 8089 862 4929 9712 4661 3784 7698 476 2723 4126 2559 1405 4660 4789 3753 555 9996 1229 2527 1410 7946 7930 6865 4890 7612 9683 9706 5971 9320 5609 ]
29,7,[ 29 2535 2575 5721 8964 8656 9933 ]
30,51,[ 30 6269 7741 4472 1817 3705 3163 9178 53 3911 9316 9157 1728 9476 6661 9987 2402 9211 3877 2347 1020 4676 7491 3253 1370 539 1010 3007 4859 5394 943 2230 952 1688 1752 2848 3289 402 2158 4241 5217 4244 1117 6718 1528 9028 1442 8549 1671 544 8110 ]
31,51,[ 31 7890 3292 3456 2634 8953 6958 4715 4726 8089 3465 9871 5913 3687 8026 8534 3255 8736 4941 7704 222 718 9312 6441 1855 2489 1587 4895 3948 9290 2804 5478 2017 3884 7072 1731 28 1014 862 4929 7538 4706 9712 7297 4018 3784 7698 476 2723 6629 4789 ]
32,48,[ 32 6873 1628 9522 7136 9962 9068 9458 3508 8227 1483 8511 4132 8120 6787 9054 8457 6925 6981 8354 5732 3398 9175 4101 4608 577 5259 8702 3371 2896 9955 7977 8485 861 5679 6239 4333 9942 7923 1161 7293 5808 5147 8447 8632 5822 1703 6291 ]
33,37,[ 33 4937 1802 584 6205 4597 870 9417 4188 5863 9691 9507 3126 8619 4306 623 7881 1550 3539 882 3521 1141 4975 7687 5409 4001 5540 284 3991 8183 1383 4032 6854 9517 49 1243 8569 ]
34,28,[ 34 1811 6294 5945 5456 9927 1614 1074 4392 159 1635 2350 1431 6729 5855 7933 1617 4067 2733 7721 5284 4227 208 5711 7611 4376 7109 8621 ]
35,53,[ 35 5771 4614 4938 1493 1316 8839 2146 5579 6574 3280 6781 1809 7980 9793 6403 4995 2106 5518 8697 7865 5828 8392 9843 8536 4960 6359 5410 2807 4630 3120 8364 1240 4550 2886 1706 5404 6456 8896 609 7469 4438 2592 4814 5723 6098 4863 7408 819 4334 9228 1943 366 ]
36,40,[ 36 8309 3553 9599 3345 2351 3778 2859 4049 4716 9134 9073 1163 9854 3560 1685 3167 2842 9919 3427 6086 4824 8848 3870 1574 7139 3755 912 5792 9024 9143 5662 1211 64 6813 7638 5819 9563 675 5969 ]
37,33,[ 37 3269 9310 5567 6251 3694 653 7804 66 3273 4143 2276 3898 7948 8136 6450 4369 7630 8282 930 1675 9486 7160 1134 286 9265 5159 8349 8713 3072 5797 619 2537 ]
38,36,[ 38 5704 6843 3912 9166 4178 3034 5263 9180 6241 6337 9870 6884 9189 3066 772 6382 1988 8845 9119 9819 350 4130 9809 6232 3847 7238 4609 1956 7563 83 9898 8596 4737 9040 9204 ]
39,11,[ 39 9848 8683 3976 3801 8540 1893 3620 9050 4691 6589 ]
40,44,[ 40 477 9181 7159 7711 2677 1013 739 8014 146 7413 4931 1433 7625 5670 2769 6561 5270 7750 280 9011 7299 4220 7527 1937 6144 6230 8944 505 9881 3296 5580 528 484 6311 5046 4074 6264 1214 1620 7084 9605 3395 7472 ]
41,46,[ 41 5385 7727 4013 7840 4230 2948 2706 9616 166 6667 8807 1109 194 9095 4991 9473 3670 7346 3439 9344 8856 1604 8723 9760 388 5562 6621 4036 9020 5304 8113 7715 9440 3481 4364 6459 5081 7613 1450 7426 2667 9139 6587 46 7562 ]
42,9,[ 42 2540 6218 8922 4994 5437 6062 1968 5241 ]
43,55,[ 43 984 2131 3988 3281 9948 8910 3234 7905 3277 9255 5973 8211 4405 6268 1629 9359 511 3288 7000 6791 9292 3567 4157 2257 3297 9247 7097 7301 6683 6938 2803 9515 5524 1589 8152 2954 4321 4351 4901 5070 7904 3629 221 7548 8869 4939 7730 1568 8261 9761 1157 3826 8140 1886 ]
44,41,[ 44 5429 579 3306 7626 1592 3669 9485 2800 4141 2393 3800 1184 8080 2255 832 2329 4428 6978 2746 3547 8164 5622 2174 9413 2349 1305 5914 4618 1909 2404 2663 5036 3542 1377 990 1987 7916 3940 8716 5299 ]
45,51,[ 45 697 7351 1665 5857 894 4699 3 6221 3739 5432 4836 4665 1059 2002 5285 147 2197 6129 6210 1058 1067 1106 1183 8255 3293 7344 1835 2845 5256 8624 7896 9047 6041 4020 1417 8505 7583 6074 8023 1759 3411 6140 5463 6463 2145 3283 3653 6996 5343 4408 ]
46,49,[ 46 5599 1151 6587 7693 9139 2667 628 7426 3772 3715 7613 5081 6459 4364 7760 9440 7715 8113 5304 2139 4950 5562 388 9760 41 4230 1633 7562 6086 3427 9919 3167 6396 2913 1685 9854 6416 6877 1163 1609 9134 4716 4049 3778 6858 3861 7831 3647 ]
