id,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,distance_calculations,is_core,cluster_id
0,2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,11486,1,1
1,4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,17156,0,1
2,7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,15882,0,1
3,4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,13976,1,2
4,6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,16207,0,1
5,4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,16707,0,1
6,6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,16171,1,1
7,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,7562,1,1
8,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,17189,1,1
9,1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,5273,0,1
10,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,15153,1,1
11,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,17059,0,4
12,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,18055,0,1
13,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,13597,0,1
14,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,14519,0,1
15,7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,11348,1,1
16,5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,14490,0,11
17,2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,11895,0,1
18,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,15341,0,1
19,4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,15826,1,1
20,5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,16270,0,1
21,3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,545,1,3
22,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,10846,0,16
23,2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,6447,1,1
24,8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,10447,0,1
25,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,18256,0,1
26,5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,14553,0,1
27,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,6988,1,1
28,3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,16182,0,1
29,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,17617,0,1
30,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,13384,1,4
31,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,5482,1,1
32,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,16863,0,1
33,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,13433,0,1
34,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,13932,0,1
35,4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,18030,0,1
36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,19106,0,1
37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,1613,0,3
38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,12074,1,1
39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,11052,0,1
40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,18678,0,1
41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,610,1,5
42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,10547,0,1
43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,12817,1,1
44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,17678,1,1
45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,11630,1,1
46,4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,10192,1,1
47,4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,17181,1,1
48,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,14918,0,1
49,3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,14537,1,1
50,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,15199,1,1
51,3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,11093,1,1
52,8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,13132,0,1
53,2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,16141,0,1
54,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,16425,1,1
55,5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,16238,1,1
56,4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,14096,0,19
57,1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,8998,1,6
58,2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,11093,1,1
